51	46	1
178	3	2
194	10	3
109	41	4
31	14	5
70	34	6
101	45	7
127	39	8
74	17	9
108	21	10
112	44	11
164	39	12
52	30	13
172	31	14
161	30	15
128	22	16
99	43	17
25	6	18
163	42	19
82	26	20
159	44	21
126	42	22
167	36	23
104	36	24
160	33	25
193	12	26
133	40	27
126	12	28
27	19	29
101	9	30
30	28	31
200	5	32
191	20	33
150	10	34
102	23	35
113	20	36
24	9	37
46	43	38
79	29	39
25	10	40
2	26	41
188	31	42
124	39	43
144	50	44
83	29	45
10	31	46
40	49	47
189	14	48
15	15	49
39	1	50
56	23	51
194	22	52
193	43	53
102	10	54
87	22	55
66	25	56
56	43	57
40	13	58
26	49	59
80	5	60
193	7	61
187	39	62
108	47	63
171	40	64
52	48	65
130	50	66
25	24	67
20	31	68
15	15	69
107	42	70
55	25	71
108	32	72
110	11	73
12	24	74
167	21	75
26	44	76
183	31	77
39	28	78
190	38	79
17	32	80
127	22	81
11	17	82
25	32	83
172	34	84
135	16	85
187	20	86
88	38	87
29	23	88
129	45	89
192	6	90
160	22	91
117	32	92
25	1	93
133	8	94
190	49	95
93	45	96
64	16	97
101	24	98
161	12	99
