1	1	27
2	2	41
3	3	35
4	4	37
5	5	1
6	6	27
7	7	1
8	8	49
9	9	47
10	10	14
11	11	38
12	12	40
13	13	20
14	14	4
15	15	26
16	16	24
17	17	42
18	18	3
19	19	18
20	20	33
21	21	14
22	22	35
23	23	17
24	24	44
25	25	19
26	26	32
27	27	28
28	28	9
29	29	28
30	30	22
31	31	5
32	32	41
33	33	43
34	34	50
35	35	50
36	36	44
37	37	50
38	38	26
39	39	35
40	40	45
41	41	39
42	42	19
43	43	9
44	44	5
45	45	16
46	46	14
47	47	28
48	48	4
49	49	45
50	50	19
51	51	39
52	52	20
53	53	29
54	54	3
55	55	40
56	56	20
57	57	14
58	58	47
59	59	40
60	60	13
61	61	25
62	62	30
63	63	14
64	64	34
65	65	20
66	66	39
67	67	25
68	68	45
69	69	11
70	70	33
71	71	16
72	72	13
73	73	20
74	74	5
75	75	13
76	76	3
77	77	36
78	78	46
79	79	34
80	80	49
81	81	5
82	82	7
83	83	10
84	84	29
85	85	43
86	86	34
87	87	36
88	88	15
89	89	48
90	90	50
91	91	3
92	92	40
93	93	36
94	94	17
95	95	23
96	96	22
97	97	8
98	98	2
99	99	30
100	100	16
